id,key,summary
542713,UNBO-3898,Security issue - open redirect
542710,UNBO-3896,Test WIOP WAF onboarding
542697,UNBO-3895,Closure of Unilever Kazakhstan websites
542675,UNBO-3894,Userway test site
542313,UNBO-3893,Feature - first image is lazy loaded when first item in body
542305,UNBO-3892,Create an API to retrieve the data fro WHAM
542304,UNBO-3891,Create lighthouse data pull and summary
542131,UNBO-3890,Remove OneTrust AutoBlocking from the site
542104,UNBO-3889,Row block wrapping oddly
542091,UNBO-3888,Create url for Notices CMS (cms-notices)
542090,UNBO-3887,Content of a case study (within a section) is showing as white on white
542061,UNBO-3885,Add download module to the playbook callout section
542058,UNBO-3884,Automation coverage of Front End package notices
542056,UNBO-3883,Automation coverage for CMS Notices
541891,UNBO-3882,Feature group first image is lazy loaded
541879,UNBO-3881,"Set up Dev, Qa, and Production"
541813,UNBO-3880,Unilever Online QAF Implementation Tasks
541781,UNBO-3879,The Press release link on sub site news doesn't link correctly
541771,UNBO-3878,Axe POC - axe cli post results to axe reports
541768,UNBO-3877,High charts Maps POC
541767,UNBO-3876,AXE POC - Configure Rest API's to extract Axe Monitor data
541755,UNBO-3875,Create CMS guide in playbook for creating a Brand
541453,UNBO-3874,Storybook does not have SSO showing even though it's enabled
541345,UNBO-3872,Resturcture of the UNOP confluence
541231,UNBO-3871,Update WIOP link to USA
541168,UNBO-3870,Review for Automation - Create a Drafts custom page
541166,UNBO-3869,Korea sites (ko-KR and en-GB) are still using /planet-and-society/
541164,UNBO-3868,DACH QA is not matching DACH Prod for redirect /planet-and-society/ /sustainability/
541131,UNBO-3867,Produce technical document for search solution in confluence 
541114,UNBO-3866,Analytics for search 
541113,UNBO-3865,Testing strategy for search 
541112,UNBO-3864,Load testing 
541103,UNBO-3863,Search Phase 2
541077,UNBO-3862,Investigate and reduce Azure costs
541016,UNBO-3861,Standardise display options on schemas
541009,UNBO-3860,Problem publishing images
540843,UNBO-3856,Sanity Content Helpers Showing Incorrect number of Publications
540789,UNBO-3855,Improve List and filters on the platform
540784,UNBO-3854,"Feature group ""jumps"" on load"
540744,UNBO-3853,It seems the fragrance data for WIOP is no longer showing.
540734,UNBO-3851,Sanity is not able to retrieve details unpublished pages under Test Manual Publications.
540733,UNBO-3850,Broken Sitemap Links – Be/Fr & Ca/Fr
540730,UNBO-3849,Wham – Accessibility & Non-Accessibility Tests
540725,UNBO-3848,Accessibility WCAG 2.2 Level AA - Ensure touch target have sufficient size and space
540705,UNBO-3847,Axe POC - configure sandbox site with accessibility violations
540604,UNBO-3846,"Issues | Twitter icon is being displayed as ""Bird"" instead of ""X"""
540475,UNBO-3843,create a one pager outlining the options for securing origin
540434,UNBO-3842,Document the generic SSO process
540431,UNBO-3841,Document change password process
540376,UNBO-3840,Lower New Relic threshold for draft documents count
540284,UNBO-3839,Create Notice website
540281,UNBO-3838,Create new Document type / Schemas - Notice
540280,UNBO-3837,Create new Page type / Schemas - Language
540276,UNBO-3836,Create new Sanity Studio for Notices
540260,UNBO-3835,ThemeSwitcher Tooltip - arrow in wrong position
540224,UNBO-3834,Sanity Content Helper - results page isn't scrollable
540164,UNBO-3833,Provide Sanity access
540025,UNBO-3832,New studio - helpers don't scroll
539954,UNBO-3831,publications are missing in WIOP
539882,UNBO-3830,Redesign ci workflow studio cms for running qa publications
539818,UNBO-3829,Onetrust cookie notice link is missing
539817,UNBO-3828,Onetrust cookie banner is missing
539812,UNBO-3827,Onetrust JS missing OtAutoBlock.js or otSDKStub.js 
539811,UNBO-3826,onetrust automation cookie and privacy notice Link mismatch in page footer
539810,UNBO-3825,Onetrust cookie notice link mismatch
539808,UNBO-3824,Privacy and Cookie Notice language versions not availble
539775,UNBO-3823,Axe POC - Script an authenticated login to scan Stage publication
539747,UNBO-3822,Show the Read time and categories in the Promos
539746,UNBO-3821,Ability to use the Topics layout to create a list of links (link cloud module)
539742,UNBO-3820,Add hero section to front page
539736,UNBO-3819,Change Slack channel name - uol-new-relic-monitoring
539612,UNBO-3818,Bot traffic issue 
539609,UNBO-3816,Review Abilitynet report for deforestation and Navigation
539607,UNBO-3815,Create POC for Notice site 
539570,UNBO-3814,The image routing is not longer going though Akamai
539539,UNBO-3813,Write migration to remove all asset images that have no references
539482,UNBO-3812,Axe POC - Integrate package axe-devtools/cypress
539419,UNBO-3811,The standards CSV file seems to be duplicating
539345,UNBO-3809,Add stat variant
539332,UNBO-3808,Cleanup publications from QA with recursive delete
539327,UNBO-3807,Review security issue with PDF.js
